lambda_sat,mean_true_relevance_prob,mean_true_satisfaction,mean_revenue,mean_cost
0.0,0.5633760300258325,0.612663810261273,74.40382666582768,100.6603302571583
0.1,0.5756029647489112,0.7081800258827154,71.66875903439615,99.54251678672635
0.2,0.5732372479660925,0.7574022948974168,71.22824559731889,99.80165224386087
0.30000000000000004,0.5660929008031245,0.7813849330116927,71.15463622768068,100.6144387305312
0.4,0.556981704142659,0.7865033708766659,70.3936597319604,100.12249345962313
0.5,0.5505141804902078,0.7851248803433546,70.5631478974012,100.45786553108206
0.6000000000000001,0.5456895653207428,0.7822965788102398,70.59178091611743,100.76296324371395
0.7000000000000001,0.5415059455763482,0.781704350284119,70.06525299762649,100.30810740404846
0.8,0.5387607627319708,0.7803011188176513,69.79188851838452,100.25287734015883
0.9,0.5354917070169828,0.7806321669547186,69.73937308738589,100.18056524091278
1.0,0.5289073104073726,0.7791593761634407,69.69207073556508,99.9847315464015
