Run,Configuration,Mean_Relevance,Mean_Satisfaction,Mean_Revenue,Mean_Cost
0,Full HASMO,0.5667510979061343,0.7715068199748906,77.37244238417703,107.94586906633589
0,No Relevance term,0.5260196386826915,0.768127049490947,82.40222392277745,112.55542962450335
0,No Satisfaction term,0.560384422416643,0.6026729789271361,91.05649581139052,120.85270955564229
0,No Revenue term,0.571735054247385,0.7746421760956841,64.30607014750166,94.73424616410163
0,No Cost term,0.5642185173756996,0.7627806849766552,91.32284758998115,122.69511069187945
1,Full HASMO,0.5699336091892682,0.7684405429233744,75.2481865861544,100.18289803209511
1,No Relevance term,0.5233261947563123,0.780172139192149,78.9453187856849,103.98197006909304
1,No Satisfaction term,0.5697393300810512,0.6051621600487274,83.90829440145511,109.25215518444912
1,No Revenue term,0.5707586611532537,0.7608593011180785,60.395148944613275,85.16669364342711
1,No Cost term,0.5669289119958849,0.7692190947375039,82.22774206059937,107.81208851000333
2,Full HASMO,0.5998099693855767,0.7800822281097034,92.74138087572626,120.33288187283424
2,No Relevance term,0.5518830202765351,0.7820004367631288,99.7960816164186,127.32366732965362
2,No Satisfaction term,0.6011413976884474,0.6385935266936978,104.27861444067915,130.9465038978399
2,No Revenue term,0.6020069402582284,0.781118495638934,77.63219814564083,105.44445174213806
2,No Cost term,0.5957567707358167,0.7720022502319214,103.09297719258637,131.08705311452556
3,Full HASMO,0.5796154606042989,0.78304516229447,96.80561584301294,129.10010354753877
3,No Relevance term,0.5510055524813953,0.7855464449329829,104.77197077716022,136.8145448973697
3,No Satisfaction term,0.5740595880234728,0.63081387643608,104.21000625920344,136.13483492536466
3,No Revenue term,0.579527452204708,0.7723504600009704,72.76783120870998,105.61614675182432
3,No Cost term,0.5767037309968066,0.7733317582337714,108.33629769109602,141.12919755797367
4,Full HASMO,0.5898345786794409,0.7682977990277889,86.50142175689315,115.35259044870782
4,No Relevance term,0.5404020234407161,0.7897331381965845,96.2204426951056,123.94449523829206
4,No Satisfaction term,0.5919548309790091,0.6162812854241771,98.4809439265989,126.72883378260474
4,No Revenue term,0.5843240675409392,0.7663433631577712,72.02823152473626,101.96287374377229
4,No Cost term,0.5887206557058919,0.7687359981078172,95.07038723479864,123.3996576451533
5,Full HASMO,0.5626234051428852,0.7439555910111386,97.0871161269525,121.36507603480543
5,No Relevance term,0.5192283505560612,0.7637550083774178,102.80147289126602,127.11265267945946
5,No Satisfaction term,0.5528862200867024,0.5984065358770074,110.23928372273353,135.06559444814954
5,No Revenue term,0.5586443507414592,0.7352123930285002,74.36125047285299,97.64739863177358
5,No Cost term,0.5559598244024724,0.7398538356376421,111.24596279158445,136.76064723978348
6,Full HASMO,0.5880083248818219,0.7731037479946882,98.95568731518041,127.2098259242713
6,No Relevance term,0.5375697692598738,0.793569344002838,109.4960016088322,137.54462683273104
6,No Satisfaction term,0.5909204123205755,0.6238001964521983,110.00341889288734,137.1167553314204
6,No Revenue term,0.5790277067439262,0.7660331249852952,69.47303209806316,97.39201473532103
6,No Cost term,0.5838934755442647,0.7688507661028251,109.94498639919782,139.68796120356456
7,Full HASMO,0.6158783643192645,0.7947636869219237,126.34435491783114,155.14527525392498
7,No Relevance term,0.5760753855845315,0.8187842913931107,133.95197778954756,162.6249132408252
7,No Satisfaction term,0.6178802690746972,0.6620199452004879,138.34452808272025,167.57173316690483
7,No Revenue term,0.5904485417297524,0.7819697937827689,86.66075788813944,114.5378690665292
7,No Cost term,0.6158539241485309,0.7871368056182644,137.3768109671892,167.47348565634707
8,Full HASMO,0.6029184551087189,0.8001122836381436,82.50174215749098,113.57927107170413
8,No Relevance term,0.5558538533720375,0.8152789785645356,89.40478340731497,117.8609015836849
8,No Satisfaction term,0.5963446582270936,0.6567696567942811,92.80969796868474,121.34148015504465
8,No Revenue term,0.5985267639939551,0.8032230579870422,70.09026395259377,100.68239338305298
8,No Cost term,0.6015484960789229,0.7966263423200854,90.50984996314244,122.07277889232051
9,Full HASMO,0.6048587140502879,0.8006106622288306,89.55495502176709,115.76385308896421
9,No Relevance term,0.5554896101082408,0.8051201015969078,97.0879170326258,122.77384976038458
9,No Satisfaction term,0.6067670094581169,0.6629612921732251,98.68291781991877,125.43857404898353
9,No Revenue term,0.59819178023857,0.7892389807800816,71.67936647480815,98.04750562546415
9,No Cost term,0.6043041635751192,0.8012082504012786,99.0145760540116,125.73019732510662
10,Full HASMO,0.5943451590314737,0.7814485016879289,108.40383684580857,137.68877841346315
10,No Relevance term,0.5454356536179318,0.8016267083545893,116.17985989909718,144.10454551465577
10,No Satisfaction term,0.599047862285995,0.6500574978968091,117.66442025278569,145.2602867637811
10,No Revenue term,0.5768533178690097,0.761728768886931,83.39625838189255,112.92658788854816
10,No Cost term,0.5933382180195522,0.7764176022079614,119.93722888826528,149.12190671252716
11,Full HASMO,0.5697706173013061,0.7790034223386144,105.43416356482568,133.76421041117297
11,No Relevance term,0.5274464749728849,0.779238708490597,112.82179694759643,140.48420250093028
11,No Satisfaction term,0.5653560469808574,0.6091762214840781,112.19411026464344,139.2096569230034
11,No Revenue term,0.5689201843291642,0.7852697931049969,93.46519662563334,122.93561154175647
11,No Cost term,0.5670197080927313,0.7750504712859426,112.98058437814632,141.75894413109125
12,Full HASMO,0.580525729113776,0.788257054960809,91.73200242028463,118.65469593035331
12,No Relevance term,0.5411819774583164,0.7943090024428863,101.16581641160963,126.88985997407785
12,No Satisfaction term,0.5808043115982082,0.5945447469853223,107.35898861384744,133.1625430279382
12,No Revenue term,0.578072578217837,0.784024881524275,77.35747512125883,103.79296033018234
12,No Cost term,0.5764420318881321,0.7870143916116833,101.54942860676661,128.58697070828254
13,Full HASMO,0.5895830557832827,0.7785489835016627,100.36322669408996,129.44038302924963
13,No Relevance term,0.5482085147784526,0.7794535538584083,112.64305366060692,140.40504906732545
13,No Satisfaction term,0.5870215198334715,0.6407825754880832,113.08429434761722,140.6408614022331
13,No Revenue term,0.5865817298704411,0.7717465465644743,75.04328135646114,106.31006989753335
13,No Cost term,0.5845619342861154,0.7731452282511982,115.26777323516183,143.56780177903002
14,Full HASMO,0.6254405421093427,0.804924833660284,89.11427101440029,116.67979090914359
14,No Relevance term,0.5739110104850125,0.8128717349520808,99.45379865410537,126.8532304918435
14,No Satisfaction term,0.6245638831874805,0.665934271200963,106.04841481772927,133.48271118607434
14,No Revenue term,0.6208664768882959,0.7930631538866997,66.0466594954544,92.33478304860333
14,No Cost term,0.6184524990694891,0.7991190277211211,103.95366864715342,132.9979042860062
