Method,Precision@5,Recall@5,MAP,nDCG@5,Mean_Satisfaction,Mean_Revenue,Run
Content-Based,0.49833333333333335,0.1472407834322291,0.5268152801362891,0.4833771033979955,0.5139925678547638,84.31769555588866,3
IMOHAG (HASMO),0.5583333333333333,0.16646717313256382,0.569513375554683,0.561856150595567,0.78304516229447,96.80561584301294,3
Random,0.3716666666666667,0.11399676660815442,0.4388418509909835,0.36801797867792374,0.4415917987722727,89.34449711457152,4
Relevance-Only,0.6316666666666666,0.19828544781659263,0.5930260342133119,0.653201423000341,0.6321596145121873,81.49373865736283,4
Revenue-Driven,0.325,0.0982986949109156,0.42471758769138895,0.3160367051680076,0.3673177509662686,180.05218914311288,4
Static-Weighted-Sum,0.6066666666666667,0.19200744720809668,0.5813006064991271,0.6362368513981345,0.7739112545254421,81.95538037873642,4
Popularity-Based,0.47,0.1470571569744574,0.46957636222602944,0.4373550857975503,0.4370112282581472,104.59443584183379,4
Content-Based,0.5183333333333333,0.1609452452936603,0.5408729667788532,0.5344597524469595,0.5847870269433523,91.37418320285897,4
IMOHAG (HASMO),0.61,0.19362653328054963,0.5773360380230632,0.6347784552824648,0.7682977990277889,86.50142175689315,4
Random,0.4,0.1269642273563646,0.4470515310788565,0.3976761101225039,0.4548516643927501,82.7891515357794,5
Relevance-Only,0.5383333333333333,0.17544221266555196,0.5355440951292055,0.5354581552779123,0.5984796623878804,85.31509822492906,5
Revenue-Driven,0.4166666666666667,0.13534410482467082,0.45194013340596345,0.43463635965233727,0.5158946251052507,161.41620049029163,5
Static-Weighted-Sum,0.565,0.1841319951893801,0.5389065157709705,0.5635088679660001,0.7389671367499805,83.67578374689113,5
Popularity-Based,0.375,0.1205158185022652,0.4548163058493744,0.4192553537162669,0.4878433964351438,103.97332420983331,5
Content-Based,0.4683333333333334,0.15001129240575162,0.5020348654656093,0.4717117036133114,0.4728773854118184,83.63036730554593,5
IMOHAG (HASMO),0.5383333333333333,0.17374582530920868,0.5375927834748199,0.546981755084394,0.7439555910111386,97.0871161269525,5
Random,0.42,0.13101553407537556,0.4630039132340098,0.4327526218299953,0.46193671258628105,78.099293532091,6
Relevance-Only,0.6166666666666667,0.19185711909897532,0.5797115608579743,0.6339007725782995,0.6210524744568031,81.98082533321107,6
Revenue-Driven,0.52,0.16016726541021534,0.4983152099370062,0.5377541102217089,0.570003922174349,157.65440420301871,6
Static-Weighted-Sum,0.575,0.17872551584527455,0.566132127065237,0.5866033227642367,0.7664315009402866,84.84959130441074,6
Popularity-Based,0.47833333333333333,0.14836024175747725,0.5021798853064307,0.5125749630794303,0.5452422118696215,94.86409621672854,6
Content-Based,0.48000000000000004,0.14733217116722636,0.5319505294399383,0.5070328036830084,0.5169968193935348,77.82151594794206,6
IMOHAG (HASMO),0.5916666666666667,0.18328496027984517,0.5675757305670914,0.5955863016118064,0.7731037479946882,98.95568731518041,6
Random,0.43833333333333335,0.12126639651765006,0.497505527614175,0.4470650542105285,0.49527880891484516,93.71565936963931,7
Relevance-Only,0.6283333333333334,0.17658566564833392,0.6067636314622253,0.6314998549857685,0.6544703227180274,101.49248187660974,7
Revenue-Driven,0.47833333333333333,0.13579903580500902,0.5314401575115818,0.5281115682601794,0.5399719760815062,187.6531853836231,7
Static-Weighted-Sum,0.6383333333333334,0.17894960369157772,0.6028836161910642,0.6431655485142114,0.7919223826743271,105.0303282314726,7
Popularity-Based,0.5116666666666666,0.14243784547033078,0.5078518510641417,0.49207392292728486,0.5191645896808018,102.92627900620128,7
Content-Based,0.615,0.17358184071140334,0.5735856376024161,0.5989863434954863,0.5701056966819921,85.60180590968358,7
IMOHAG (HASMO),0.6233333333333333,0.1748995588080733,0.6069206704325095,0.6393306693160741,0.7947636869219237,126.34435491783114,7
Random,0.44000000000000006,0.1268230397533298,0.48299701906907394,0.45065643790332455,0.4721330751030254,77.12481369523499,8
Relevance-Only,0.6383333333333333,0.18782980609774255,0.5960387493164299,0.6480077252687103,0.678762214461205,76.07820649516542,8
Revenue-Driven,0.39666666666666667,0.11566932647856223,0.4673814680751409,0.40326744567767003,0.4463658548367878,166.46074288442432,8
Static-Weighted-Sum,0.5866666666666667,0.1717837412823363,0.5847551885390558,0.5987142730654916,0.8000806443579542,74.65962120442948,8
Popularity-Based,0.4583333333333333,0.13532874908496628,0.4833689099830541,0.4598698462045699,0.5576879455129308,91.96743788140495,8
Content-Based,0.5766666666666667,0.16838942897973386,0.5491045060406013,0.5621404838044775,0.5369372960513544,82.57780116038755,8
